Dr_c0,Dr_c1,Dr_c2,Dr_c3
11,14,18,9
11,14,14,10
11,14,14,15
11,8,11,10
11,11,11,
11,11,11,
11,11,11,
11,11,11,
10,11,10,
10,11,10,
10,11,10,
10,11,10,
15,11,10,
7,11,10,
7,11,10,
7,10,11,
8,10,7,
8,10,7,
8,10,8,
8,10,8,
8,10,8,
8,10,8,
8,10,8,
8,10,8,
8,10,8,
8,10,35,
8,11,35,
8,8,37,
8,8,35,
8,8,9,
8,8,9,
8,8,10,
8,8,10,
8,8,31,
39,8,,
7,8,,
7,8,,
8,8,,
8,37,,
8,37,,
10,37,,
37,37,,
43,37,,
37,37,,
37,37,,
15,35,,
13,13,,
30,13,,
30,13,,
30,13,,
30,13,,
30,13,,
30,13,,
30,13,,
9,13,,
10,13,,
10,11,,
7,10,,
14,10,,
13,10,,
13,9,,
13,10,,
8,10,,
8,31,,
13,8,,
13,8,,
13,10,,
12,9,,
12,9,,
12,,,
12,,,
12,,,
13,,,
13,,,
13,,,
13,,,
13,,,
