BP,DHD,Dtrc7,Atrc7,Drec7,lat,lon
0.6125,103.88,12,3.92,7,18.325,-65.075
0.6864,104.01,0,0,0,18.275,-64.825
0.0148,69.75001,0,0,0,28.175,-94.275
0.3111,103.6,0,0,0,18.325,-64.825
0.759,57.02,0,0,14,24.625,-81.225
0.738,104.36,0,0,7,13.075,-59.625
0.591,103.74,0,0,0,13.275,-59.675
1,103.57,11,3.69,8,18.325,-64.975
1,103.57,11,3.69,8,18.325,-64.975
1,104.34,0,0,0,18.275,-64.875
0.4222,104.34,0,0,0,18.275,-64.875
0.7362,103.6,0,0,0,18.325,-64.825
1,60.86,0,0,10,24.925,-80.625
0.63,104.36,0,0,7,13.075,-59.625
0.82,102.76,0,0,7,13.225,-59.675
1,106.95,0,0,0,18.175,-64.975
1,104.36,0,0,0,18.275,-64.925
0.594,103.46,0,0,0,13.075,-59.575
0.475,105.96,0,0,0,18.225,-65.025
0.8879,103.88,12,3.92,7,18.325,-65.075
0.86,104.36,0,0,7,13.075,-59.625
0.8079,105.29,0,0,0,18.225,-64.775
0.9446,103.35,0,0,0,18.325,-64.775
1,103.4,11,3.26,8,18.375,-65.025
0.7908,100.58,0,0,0,17.775,-64.775
1,104.34,0,0,0,18.275,-64.875
1,104.01,0,0,0,18.275,-64.825
0.9031,100.47,0,0,0,17.775,-64.825
0.9793,106.39,0,0,24,18.175,-65.075
1,103.34,11,3.13,8,18.375,-64.925
0.9128,101.19,0,0,0,17.625,-64.875
0.7126,101.82,0,0,0,17.775,-64.675
1,106.33,0,0,0,17.825,-64.425
0.8,101.35,0,0,0,17.725,-64.675
0.9937,100.47,0,0,0,17.775,-64.825
0.699,61.97,0,0,0,16.275,-86.525
0.8744,101.86,0,0,0,17.775,-64.625
0.8162,99.87,0,0,0,17.725,-64.875
0.199,104.36,0,0,0,13.075,-59.625
0.431,103.46,0,0,0,13.075,-59.575
0.437,104.22,0,0,0,13.075,-59.625
0.46,104.22,0,0,0,13.075,-59.625
0.326,102.88,0,0,0,13.275,-59.675
0.397,101.92,0,0,0,13.225,-59.675
0.5813,69.60001,0,0,0,17.675,-64.925
0.1,68.43999,7,1.05,17,18.375,-65.025
0.47,67.37,0,0,17,18.375,-64.925
0.3619,65.32,7,0.77,17,18.275,-64.875
0.3713,65.2,0,0,17,18.325,-64.825
0.35,65.32,7,0.77,17,18.275,-64.875
0.4885,67.29,7,1.06,17,18.325,-64.975
0.27,63.71,0,0,17,18.325,-64.775
0.3626,63.63,0,0,17,18.225,-64.775
0.4154,68.86,7,1.44,17,18.325,-65.075
0.625,67.29,7,1.06,17,18.325,-64.975
0.3529,65.32,7,0.77,17,18.275,-64.875
0.6833,64.17001,0,0,17,18.275,-64.825
0.45,68.39999,0,0,0,18.225,-65.025
0.4786,66.21,7,1.02,17,18.275,-64.925
0.1233,67.67999,0,0,0,18.175,-64.975
0.21,68.44,0,0,0,18.175,-65.075
0.44,65.83,8,1.43,16,17.825,-64.425
0.3,60.71,8,0.89,16,17.775,-64.675
0.39,61.71,8,1.24,16,17.725,-64.575
0.4,60.15,7,0.68,16,17.775,-64.775
0.5106,60.6,7,0.66,16,17.775,-64.825
0.5238,65.26,0,0,0,17.625,-64.875
0.4577,60.34,8,0.96,16,17.775,-64.625
0.4348,71.04001,0,0,0,24.575,-81.375
0.1071,56.48,0,0,0,25.225,-80.275
0.1094,70.8,0,0,0,24.575,-81.425
0.0417,70.8,0,0,0,24.575,-81.425
0.1544,71.03,0,0,0,24.575,-81.475
0.0526,68.92999,0,0,0,24.525,-81.525
0.186,66.55999,0,0,0,24.525,-81.475
0.1064,65.73999,0,0,0,24.475,-81.675
0.1481,76.28,0,0,0,24.575,-81.675
0.1485,69.54,0,0,0,24.525,-81.575
0.0357,69.54,0,0,0,24.525,-81.575
0.0598,74.64999,0,0,0,24.575,-81.575
0.0727,76.61,0,0,0,24.525,-81.925
0.1111,69.54,0,0,0,24.525,-81.575
0.2222,68.92999,0,0,0,24.525,-81.525
0.0719,71.03,0,0,0,24.575,-81.475
0.0345,59.48,0,0,0,24.875,-80.575
0.0444,63.97,0,0,0,24.825,-80.675
0,62.15001,0,0,0,24.975,-80.525
0,62.15001,0,0,0,24.975,-80.525
0.0847,56.48,0,0,0,25.225,-80.275
0.3902,59.33001,0,0,0,24.825,-80.625
0.0465,57.27,0,0,0,25.075,-80.375
0,56.48,0,0,0,25.225,-80.275
0.0789,56.26,0,0,0,25.125,-80.325
0.1579,70.95,0,0,0,24.475,-81.875
0.1667,70.95,0,0,0,24.475,-81.875
0.0769,70.95,0,0,0,24.475,-81.875
0.102,70.42,0,0,0,24.625,-81.125
0.0476,70.42,0,0,0,24.625,-81.125
0.0506,65.78,0,0,0,24.525,-81.425
0,73.38,0,0,0,24.625,-81.175
0,70.42,0,0,0,24.625,-81.125
0.25,65.78,0,0,0,24.525,-81.425
0.1111,67.24,0,0,0,24.475,-81.725
0.0385,65.73999,0,0,0,24.475,-81.675
0.0556,67.24,0,0,0,24.475,-81.725
0,69.88,0,0,0,24.475,-81.825
0,69.88,0,0,0,24.475,-81.825
0.0769,65.73999,0,0,0,24.475,-81.675
0.0833,69.88,0,0,0,24.475,-81.825
0.0123,60.74001,0,0,0,25.025,-80.475
0.063,72.51,0,0,0,24.725,-80.925
0,70.42,0,0,0,24.625,-81.125
0,72.4,0,0,0,24.675,-81.025
0.0733,68.98,0,0,0,24.725,-80.875
0.1167,68.98,0,0,0,24.475,-82.175
0.1625,76.17,0,0,0,24.525,-82.025
0.1786,68.98,0,0,0,24.475,-82.175
0.0638,72.09999,0,0,0,24.475,-82.025
0.0667,68.98,0,0,0,24.475,-82.175
0.0769,73.02,0,0,0,24.525,-82.125
0.2143,66.78999,0,0,0,24.475,-82.225
0.1193,67.24,0,0,0,24.475,-81.725
0.05,68.65,0,0,0,24.475,-81.775
0,67.24,0,0,0,24.475,-81.725
0.0845,70.09,0,0,0,24.575,-81.325
0.0345,59.07,0,0,0,24.925,-80.525
0.0376,58.34,0,0,0,24.975,-80.475
0.0476,57.43,0,0,0,25.025,-80.425
0.1618,72.4,0,0,0,24.675,-81.025
0.0455,67.9,0,0,0,24.625,-81.075
0.051,72.4,0,0,0,24.675,-81.025
0.0541,69.74,0,0,0,24.675,-80.975
0.0625,70.42,0,0,0,24.625,-81.125
0,72.4,0,0,0,24.675,-81.025
0.35,75.07999,0,0,0,-9.525,147.175
0.275,64.28,0,0,0,-8.175,115.025
0.5,61.59,0,0,0,24.675,-81.075
0.1053,62.21,0,0,7,24.725,-80.925
0.0541,59.6,0,0,7,24.725,-80.875
0.2222,60.21,0,0,8,24.825,-80.725
0.126,60.93,0,0,0,24.575,-81.425
0.1402,60.47,0,0,0,24.575,-81.375
0.0455,56.44,0,0,0,24.525,-81.425
0.0652,60.47,0,0,0,24.575,-81.375
0.08,56.44,0,0,0,24.525,-81.425
0,63.84,0,0,0,-4.575,145.925
0.1094,56.6,0,0,0,24.575,-81.225
0.1111,61.91,0,0,0,24.625,-81.225
0.0172,73.84,0,0,0,24.525,-81.925
0.0638,59.25,0,0,0,24.575,-81.275
0.0667,56.6,0,0,0,24.575,-81.225
0.0676,69.95,0,0,0,24.475,-81.975
0.0891,61.91,0,0,0,24.625,-81.225
0.142,61.99,0,0,0,24.525,-81.575
0.1505,56.44,0,0,0,24.525,-81.425
0.1727,60.71,0,0,0,24.525,-81.525
0.1881,64.8,0,0,0,24.575,-81.525
0.2099,62.06,0,0,0,24.575,-81.475
0.2333,60.71,0,0,0,24.525,-81.525
0.1063,66.84,0,0,0,24.575,-81.575
0.1176,63.22,0,0,0,24.525,-81.625
0.0545,60.24,0,0,0,24.475,-81.725
0.1798,61.99,0,0,0,24.525,-81.575
0.0591,63.22,0,0,0,24.525,-81.625
0.0679,65.03999,0,0,0,24.525,-81.675
0.3333,60.24,0,0,0,24.475,-81.725
0.4,60.24,0,0,0,24.475,-81.725
0.0213,66.53,0,0,0,24.475,-81.875
0.0357,68.11,0,0,0,24.475,-81.925
0.0472,66.53,0,0,0,24.475,-81.875
0.2,61.56,0,0,0,24.425,-81.925
0.0357,64.62,0,0,0,24.475,-81.825
0,64.62,0,0,0,24.475,-81.825
0.4412,64.62,0,0,0,24.475,-81.825
0.0769,66.53,0,0,0,24.475,-81.875
0,61.56,0,0,0,24.425,-81.925
0,64.62,0,0,0,24.475,-81.825
0.3103,64.62,0,0,0,24.475,-81.825
0.0195,65.03999,0,0,0,24.525,-81.675
0.0339,63.22,0,0,0,24.525,-81.625
0.0048,63.22,0,0,0,24.525,-81.625
0.0196,65.03999,0,0,0,24.525,-81.675
0.1615,65.03999,0,0,0,24.525,-81.675
0.0952,69.7,0,0,0,24.575,-81.675
0.1893,60.24,0,0,0,24.475,-81.725
0.0864,60.56,0,0,0,24.625,-81.175
0,60.56,0,0,0,24.625,-81.175
0,57.93,0,0,0,24.625,-81.125
0.0957,60.56,0,0,0,24.625,-81.175
0,59.72,0,0,0,24.675,-81.025
0.0909,59.72,0,0,0,24.675,-81.025
